title_corrected,title,link,citation,
,Analytical investigation of different operational scenarios of a novel greenhouse combined with solar stills,https://www.sciencedirect.com/science/article/pii/S1359431116322037,"Salah, Alaa H., Gasser E. Hassan, Hassan Fath, Mohamed Elhelw, and Samy Elsherbiny. 2017. “Analytical Investigation of Different Operational Scenarios of a Novel Greenhouse Combined with Solar Stills.” Applied Thermal Engineering 122 (July): 297–310. https://doi.org/10.1016/j.applthermaleng.2017.05.022.
",
,Aquaculture and marine protected areas: Potential opportunities and synergies,https://onlinelibrary.wiley.com/doi/full/10.1002/aqc.2821,"Gouvello, Raphaëla Le, Laure-Elise Hochart, Dan Laffoley, François Simard, Carlos Andrade, Dror Angel, Myriam Callier, et al. 2017. “Aquaculture and Marine Protected Areas: Potential Opportunities and Synergies.” Aquatic Conservation: Marine and Freshwater Ecosystems 27 (S1): 138–50. https://doi.org/10.1002/aqc.2821.
",
,Asia-Pacific Sustainable Development Goals Outlook,https://www.adb.org/publications/asia-pacific-sdg-outlook,"United Nations, Asian Development Bank, and United Nations Development Programme. 2017. Asia-Pacific Sustainable Development Goals Outlook. Bangkok, Thailand: Asian Development Bank.
",
,Assessing the Impact of Renewable Energy on Regional Sustainability - A Comparative Study of Sogn og Fjordane (Norway) and Okinawa (Japan),https://www.mdpi.com/2071-1050/9/11/1969,"Schwanitz, Valeria Jana, August Wierling, and Payal Shah. 2017. “Assessing the Impact of Renewable Energy on Regional Sustainability—A Comparative Study of Sogn Og Fjordane (Norway) and Okinawa (Japan).” Sustainability 9 (11): 1969. https://doi.org/10.3390/su9111969.
",
,Assessing the land resource-food price nexus of the Sustainable Development Goals,https://advances.sciencemag.org/content/2/9/e1501499,"Obersteiner, Michael, Brian Walsh, Stefan Frank, Petr Havlík, Matthew Cantele, Junguo Liu, Amanda Palazzo, et al. 2016. “Assessing the Land Resource–Food Price Nexus of the Sustainable Development Goals.” Science Advances 2 (9): e1501499. https://doi.org/10.1126/sciadv.1501499.
",
,Background paper on building resilient infrastructure and promoting inclusive and sustainable industrialization and innovation,https://www.uneca.org/arfsd2017/pages/forum-documents,"ECA. 2017. “Background Paper on Building Resilient Infrastructure and Promoting Inclusive and Sustainable Industrialization and Innovation.”
",
,"Background paper on conservation and sustainable use of the oceans, seas and marine resources for sustainable development",https://www.uneca.org/arfsd2017/pages/forum-documents,"ECA. 2017. “Background Paper on Conservation and Sustainable Use of the Oceans, Seas and Marine Resources for Sustainable Development.”
",
,Background paper on ending hunger and achieving food security in Africa,https://www.uneca.org/arfsd2017/pages/forum-documents,"ECA. 2017. “Background Paper on Ending Hunger and Achieving Food Security in Africa.”
",
Background paper on the sub-theme: “Healthy lives and promoting well-being for all”,Background paper on the sub-theme: “Ensuring healthy lives and promoting well-being for all”,https://www.uneca.org/arfsd2017/pages/forum-documents,"ECA. 2017. “Background Paper on the Sub-Theme: ‘Healthy Lives and Promoting Well-Being for All.’”
",
,Background paper on the sub-theme: “Eradicating all forms of poverty in Africa”,https://www.uneca.org/arfsd2017/pages/forum-documents,"ECA. 2017. “Background Paper on the Sub-Theme: ‘Eradicating All Forms of Poverty in Africa.’”
",
,Background paper on the sub-theme: “Promoting gender equality and the empowerment of women and girls”,https://www.uneca.org/arfsd2017/pages/forum-documents,"ECA. 2017. “Background Paper on the Sub-Theme: ‘Promoting Gender Equality and the Empowerment of Women and Girls.’”
",
,Beyond Cockpit-ism: Four Insights to Enhance the Transformative Potential of the Sustainable Development Goals,https://www.mdpi.com/2071-1050/7/2/1651,"Hajer, Maarten, Måns Nilsson, Kate Raworth, Peter Bakker, Frans Berkhout, Yvo De Boer, Johan Rockström, Kathrin Ludwig, and Marcel Kok. 2015. “Beyond Cockpit-Ism: Four Insights to Enhance the Transformative Potential of the Sustainable Development Goals.” Sustainability 7 (2): 1651–60. https://doi.org/10.3390/su7021651.
",
,Beyond zero sum game allocations: expanding resources potentials through reduced interdependencies and increased resource nexus synergies,https://www.sciencedirect.com/science/article/pii/S2211339817300229,"Mohtar, Rabi H, and Bassel Daher. 2017. “Beyond Zero Sum Game Allocations: Expanding Resources Potentials through Reduced Interdependencies and Increased Resource Nexus Synergies.” Current Opinion in Chemical Engineering, Biotechnology and bioprocess engineering / Process systems engineering, 18 (November): 84–89. https://doi.org/10.1016/j.coche.2017.09.002.
",
,Bioaccumulation and potential sources of heavy metal contamination in fish species in Taiwan: assessment and possible human health implications,https://link.springer.com/article/10.1007/s11356-017-9590-4,"Vu, Chi Thanh, Chitsan Lin, Gavin Yeh, and Maria Ching Villanueva. 2017. “Bioaccumulation and Potential Sources of Heavy Metal Contamination in Fish Species in Taiwan: Assessment and Possible Human Health Implications.” Environmental Science and Pollution Research 24 (23): 19422–34. https://doi.org/10.1007/s11356-017-9590-4.
",
,Biofuel production and its impact on food security in low and middle income countries: Implications for the post-2015 sustainable development goals,https://www.sciencedirect.com/science/article/pii/S1364032117305786,"Renzaho, Andre M. N., Joseph K. Kamara, and Michael Toole. 2017. “Biofuel Production and Its Impact on Food Security in Low and Middle Income Countries: Implications for the Post-2015 Sustainable Development Goals.” Renewable and Sustainable Energy Reviews 78 (October): 503–16. https://doi.org/10.1016/j.rser.2017.04.072.
",
,Building-integrated rooftop greenhouses: An energy and environmental assessment in the mediterranean context.,https://www.sciencedirect.com/science/article/pii/S0306261916316361,"Nadal, Ana, Pere Llorach-Massana, Eva Cuerva, Elisa López-Capel, Juan Ignacio Montero, Alejandro Josa, Joan Rieradevall, and Mohammad Royapoor. 2017. “Building-Integrated Rooftop Greenhouses: An Energy and Environmental Assessment in the Mediterranean Context.” Applied Energy 187 (February): 338–51. https://doi.org/10.1016/j.apenergy.2016.11.051.
",
,Business Motives in Global Multi-Stakeholder Initiatives: Exploring Corporate Participation in Sustainable Energy for All,https://onlinelibrary.wiley.com/doi/full/10.1111/1758-5899.12473,"Lundsgaarde, Erik. 2017. “Business Motives in Global Multi-Stakeholder Initiatives: Exploring Corporate Participation in Sustainable Energy for All.” Global Policy 8 (4): 464–73. https://doi.org/10.1111/1758-5899.12473.
",
,Can post-2015 sustainable development goals survive neoliberalism? A critical examination of the sustainable development-neoliberalism nexus in developing countries,https://link.springer.com/article/10.1007/s10668-013-9492-7,"Kumi, Emmanuel, Albert A. Arhin, and Thomas Yeboah. 2014. “Can Post-2015 Sustainable Development Goals Survive Neoliberalism? A Critical Examination of the Sustainable Development–Neoliberalism Nexus in Developing Countries.” Environment, Development and Sustainability 16 (3): 539–54. https://doi.org/10.1007/s10668-013-9492-7.
",
,Can Social Protection Improve Sustainable Development Goals for Adolescent Health?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164808,"Cluver, Lucie D., F. Mark Orkin, Franziska Meinck, Mark E. Boyes, Alexa R. Yakubovich, and Lorraine Sherr. 2016. “Can Social Protection Improve Sustainable Development Goals for Adolescent Health?” Plos One 11 (10): e0164808. https://doi.org/10.1371/journal.pone.0164808.
",
,Challenges and opportunities in municipal solid waste management in Mozambique: a review in the light of nexus thinking,http://collections.unu.edu/view/UNU:6285,"Sallwey, Jana, Hiroshan Hettiarachchi, and Stephan Hülsmann. 2017. “Challenges and Opportunities in Municipal Solid Waste Management in Mozambique: A Review in the Light of Nexus Thinking.” AIMS Environmental Science 4 (5): 621–39.
",
,Challenges in operationalizing the water–energy–food nexus,https://www.tandfonline.com/doi/full/10.1080/02626667.2017.1353695,"Liu, J., H. Yang, C. Cudennec, A. K. Gain, H. Hoff, R. Lawford, J. Qi, L. de Strasser, P. T. Yillia, and C. Zheng. 2017. “Challenges in Operationalizing the Water–Energy–Food Nexus.” Hydrological Sciences Journal 62 (11): 1714–20. https://doi.org/10.1080/02626667.2017.1353695.
",
"""Chapter 3: Land"".  Global Environment Outlook - GEO-5: Environment for the Future We Want",Chap. 3 - Land. In: GEO 5: global environment outlook : environment for the future we want,https://www.unenvironment.org/resources/global-environment-outlook-5,"UN Environment. 2012. Global Environment Outlook - GEO-5: Environment for the Future We Want. Nairobi, Kenya.
",
"""Chapter 5: Coastal Systems and Low-Lying Areas"". Climate Change 2014: Impacts, Adaptation, and Vulnerability: Working Group II Contribution to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change","Chap. 5 - Coastal systems and low-lying areas. In: Climate Change 2014: Impacts,Adaptation, and Vulnerability. Part A: Global and Sectoral Aspects. Contribution of Working Group II to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change",https://www.ipcc.ch/report/ar5/wg2/,"Field, Christopher B., Vicente R. Barros, and Intergovernmental Panel on Climate Change, eds. 2014. Climate Change 2014: Impacts, Adaptation, and Vulnerability: Working Group II Contribution to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change. New York, NY: Cambridge University Press.
",
,Classification of Global Land Development Phases by Forest and GDP Changes for Appropriate Land Management in the Mid-Latitude,https://koreauniv.pure.elsevier.com/en/publications/classification-of-global-land-development-phases-by-forest-and-gd,"Song, Cholho, Sea Jin Kim, Jooyeon Moon, Soo Jeong Lee, Wona Lee, Nahui Kim, Sonam Wangyel Wang, and Woo-Kyun Lee. 2017. “Classification of Global Land Development Phases by Forest and GDP Changes for Appropriate Land Management in the Mid-Latitude.” Sustainability (Switzerland) 9 (8): 1342. https://doi.org/10.3390/su9081342.
",
,Clean air in the Anthropocene,https://www.ncbi.nlm.nih.gov/pubmed/28702627,"Lelieveld, Jos. 2017. “Clean Air in the Anthropocene.” Faraday Discussions 200: 693–703. https://doi.org/10.1039/c7fd90032e.
",
,Climate Change 2014 Synthesis Report,https://www.ipcc.ch/report/ar5/syr/,"IPCC. 2015. Climate Change 2014: Synthesis Report. Contribution of Working Group I, II and III to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change. Edited by Core Writing Team, Rajendra K. Pachauri, and Leo Meyer. Geneva, Switzerland.
",
,Connecting the sustainable development goals by their energy inter-linkages,https://iopscience.iop.org/article/10.1088/1748-9326/aaafe3,"McCollum, David L., Luis Gomez Echeverri, Sebastian Busch, Shonali Pachauri, Simon Parkinson, Joeri Rogelj, Volker Krey, et al. 2018. “Connecting the Sustainable Development Goals by Their Energy Inter-Linkages.” Environmental Research Letters 13 (3): 033006. https://doi.org/10.1088/1748-9326/aaafe3.
",
,Considering Resources beyond Water: Irrigation and Drainage Management in the Context of the Water-Energy-Food Nexus. ,https://onlinelibrary.wiley.com/doi/full/10.1002/ird.2154,"Avellán, Tamara, Reza Ardakanian, Sylvain R. Perret, Ragab Ragab, Willem Vlotman, Hayati Zainal, Sangjun Im, and Hafied A. Gany. 2018. “Considering Resources Beyond Water: Irrigation and Drainage Management in the Context of the Water–Energy–Food Nexus.” Irrigation and Drainage 67 (1): 12–21. https://doi.org/10.1002/ird.2154.
",
,Current medical research funding and frameworks are insufficient to address the health risks of global environmental change,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5106817/,"Ebi, Kristie L., Jan C. Semenza, and Joacim Rocklöv. 2016. “Current Medical Research Funding and Frameworks Are Insufficient to Address the Health Risks of Global Environmental Change.” Environmental Health 15 (November). https://doi.org/10.1186/s12940-016-0183-3.
",
,Determination of hierarchical relationships among sustainable development goals using interpretive structural modeling,https://link.springer.com/article/10.1007/s10668-017-9981-1,"Kumar, Pravin, Faisal Ahmed, Rajesh Kumar Singh, and Prerna Sinha. 2018. “Determination of Hierarchical Relationships among Sustainable Development Goals Using Interpretive Structural Modeling.” Environment, Development and Sustainability 20 (5): 2119–37. https://doi.org/10.1007/s10668-017-9981-1.
",
,Developing Countries and Internet-of-Everything (IoE),https://ieeexplore.ieee.org/document/7868459,"Majeed, A. 2017. “Developing Countries and Internet-of-Everything (IoE).” In 2017 IEEE 7th Annual Computing and Communication Workshop and Conference (CCWC), 1–4. https://doi.org/10.1109/CCWC.2017.7868459.
",
,"Dynamic load management for a residential customer, Reinforcement Learning approach",https://www.sciencedirect.com/science/article/pii/S2210670716300543,"Sheikhi, A., M. Rayati, and A. M. Ranjbar. 2016. “Dynamic Load Management for a Residential Customer; Reinforcement Learning Approach.” Sustainable Cities and Society 24 (July): 42–51. https://doi.org/10.1016/j.scs.2016.04.001."
,Economic Development in Africa Report 2017: Tourism for Transformative and Inclusive Growth,https://unctad.org/en/pages/PublicationWebflyer.aspx?publicationid=1778,"UNCTAD, ed. 2017. Tourism for Transformative and Inclusive Growth. Economic Development in Africa Report 2017. New York Geneva: United Nations.
",
,Education stalls and subsequent stalls in African fertility: A descriptive overview,https://www.demographic-research.org/volumes/vol33/47/,"Goujon, Anne, Wolfgang Lutz, and Samir KC. 2015. “Education Stalls and Subsequent Stalls in African Fertility: A Descriptive Overview.” Demographic Research 33 (47): 1281–96. https://doi.org/10.4054/DemRes.2015.33.47.
",
,Energy and Global Climate Change: Bridging the Sustainable Development Divide,https://www.wiley.com/en-us/Energy+and+Global+Climate+Change%3A+Bridging+the+Sustainable+Development+Divide-p-9781118845608,"Cherian, Anilla. 2015. Energy and Global Climate Change: Bridging the Sustainable Development Divide. Wiley Blackwell. https://doi.org/10.1002/9781118846070.
",
Energy for road passenger transport and sustainable development: assessing policies and goals interactions ,Energy for road passenger transport and sustainable development: assessing policies and goals interactions being and the Italian BES framework,https://www.sciencedirect.com/journal/current-opinion-in-environmental-sustainability/vol/5/issue/2,"Figueroa, Maria J., and Suzana Kahn Ribeiro. 2013. “Energy for Road Passenger Transport and Sustainable Development: Assessing Policies and Goals Interactions.” Current Opinion in Environmental Sustainability 5 (2): 152–62. https://doi.org/10.1016/j.cosust.2013.04.004.
",
"Thematic report: ""Eradicating poverty and promoting prosperity in a changing Asia-Pacific""",Eradicating poverty and promoting prosperity in a changing Asia-Pacific,https://www.unescap.org/official-documents/asia-pacific-forum-sustainable-development/session/4,ESCAP. 2017. “Thematic Report: ‘Eradicating Poverty and Promoting Prosperity in a Changing Asia-Pacific’ - Note by the Secretariat.” ,
,Essential Variables help to focus Sustainable Development Goals monitoring,https://www.sciencedirect.com/science/article/pii/S1877343517300945,"Reyers, Belinda, Mark Stafford-Smith, Karl-Heinz Erb, Robert J Scholes, and Odirilwe Selomane. 2017. “Essential Variables Help to Focus Sustainable Development Goals Monitoring.” Current Opinion in Environmental Sustainability, Open issue, part II, 26–27 (June): 97–105. https://doi.org/10.1016/j.cosust.2017.05.003.
",
,Evaluating agricultural trade-offs in the age of sustainable development,https://www.sciencedirect.com/science/article/pii/S0308521X1630542X,"Kanter, David R., Mark Musumba, Sylvia L. R. Wood, Cheryl Palm, John Antle, Patricia Balvanera, Virginia H. Dale, et al. 2018. “Evaluating Agricultural Trade-Offs in the Age of Sustainable Development.” Agricultural Systems, Agricultural Systems Perspectives on Global Food Security, 163 (June): 73–88. https://doi.org/10.1016/j.agsy.2016.09.010.
",
,Facilitating financial inclusion through E-Governance: Case based study in Indian scenario,https://ieeexplore.ieee.org/document/7962539,"Misra, H. 2017. “Facilitating Financial Inclusion through E-Governance: Case Based Study in Indian Scenario.” In 2017 Fourth International Conference on EDemocracy EGovernment (ICEDEG), 226–31. https://doi.org/10.1109/ICEDEG.2017.7962539.
",
,"Financing the SDGs in the Pacific islands: Opportunities, Challenges and Ways Forward",https://www.undp.org/content/undp/en/home/librarypage/poverty-reduction/financing-the-sdgs-in-the-pacific-islands--opportunities--challe.html,"UNDP. 2017. “Financing the SDGs in the Pacific Islands: Opportunities, Challenges and Ways Forward.”
",
,Food security in Tanzania: the challenge of rapid urbanization,https://link.springer.com/article/10.1007/s12571-016-0612-8,"Wenban-Smith, Hugh, Anja Faße, and Ulrike Grote. 2016. “Food Security in Tanzania: The Challenge of Rapid Urbanisation.” Food Security 8 (5): 973–84. https://doi.org/10.1007/s12571-016-0612-8.
",
,Framing the Water-energy Nexus for the Post-2015 Development Agenda,https://www.sciencedirect.com/science/article/pii/S2214241X15002813,"Yumkella, K. K., and P. T. Yillia. 2015. “Framing the Water-Energy Nexus for the Post-2015 Development Agenda.” Aquatic Procedia, At the Confluence Selection from the 2014 World Water Week in Stockholm, 5 (October): 8–12. https://doi.org/10.1016/j.aqpro.2015.10.003.
",
,Future Earth Health Knowledge-Action Network,https://publichealthreviews.biomedcentral.com/articles/10.1186/s40985-016-0039-y,"Shrivastava, Paul, Kari Raivio, Fumiko Kasuga, Joshua Tewksbury, Andy Haines, and Peter Daszak. 2016. “Future Earth Health Knowledge-Action Network.” Public Health Reviews 37 (1): 25. https://doi.org/10.1186/s40985-016-0039-y.
",
,Gender Equality & Goal 6: The Critical Connection,https://opus.lib.uts.edu.au/handle/10453/115346,"Grant, M. L., C. Huggett, J. Willetts, and J. Wilbur. 2017. “Gender Equality and Goal 6: The Critical Connection.” Report. Australian Water Partnership.",
,GEO-6 Regional Assessment for Africa,https://www.unenvironment.org/resources/global-environment-outlook-6-regional-assessments,"UN Environment. 2016. Global Environment Outlook - GEO-6?: Regional Assessment for Africa. Nairobi, Kenya: United Nations Environment Programme.
",
,GEO-6 Regional Assessment for Asia and the Pacific,https://www.unenvironment.org/resources/global-environment-outlook-6-regional-assessments,"UN Environment. 2016. Global Environment Outlook - GEO-6: Regional Assessment for Asia and the Pacific. Nairobi, Kenya: United Nations Environment Programme.
",
,Global Happiness Policy Report 2018,http://www.happinesscouncil.org/report/2018/,"Global Happiness Council. 2018. “Global Happiness Policy Report 2018.”
",
,Global Human Capital: Integrating Education and Population,https://science.sciencemag.org/content/333/6042/587,"Lutz, Wolfgang, and Samir Kc. 2011. “Global Human Capital: Integrating Education and Population.” Science 333 (6042): 587–92. https://doi.org/10.1126/science.1206964.
",
,"Global linkages among energy, food and water: an economic assessment",https://link.springer.com/article/10.1007/s13412-016-0386-5,"Ringler, Claudia, Dirk Willenbockel, Nicostrato Perez, Mark Rosegrant, Tingju Zhu, and Nathanial Matthews. 2016. “Global Linkages among Energy, Food and Water: An Economic Assessment.” Journal of Environmental Studies and Sciences 6 (1): 161–71. https://doi.org/10.1007/s13412-016-0386-5.
",
,Global Ocean Science Report,https://en.unesco.org/gosr,"IOC, and UNESCO. 2017. “Global Ocean Science Report - The Current Status of Ocean Science around the World.” Paris, France: United Nations Educational, Scientific and Cultural Organization.
",
Culture Urban Future: Global Report on Culture for Sustainable Urban Development,Global Report on Culture for Sustainable Urban Development,https://unesdoc.unesco.org/ark:/48223/pf0000245999,"UNESCO. 2016. Culture Urban Future: Global Report on Culture for Sustainable Urban Development. Paris, France: United Nations Educational, Scientific and Cultural Organization.
",
,Global Sustainable Development Report,https://sustainabledevelopment.un.org/globalsdreport/2016,"United Nations. 2016. “Global Sustainable Development Report 2016.” New York: Department of Economic and Social Affairs.
",
World Development Report 2017: Governance and the Law,Governance and the law,https://www.worldbank.org/en/publication/wdr2017,"World Bank. 2017. World Development Report 2017: Governance and the Law. 2017. Washington, DC, USA: World Bank Group.
",
,Governance of the water-energy-food security nexus: A multi-level coordination challenge,https://www.sciencedirect.com/science/article/pii/S1462901117300758,"Pahl-Wostl, Claudia. 2019. “Governance of the Water-Energy-Food Security Nexus: A Multi-Level Coordination Challenge.” Environmental Science & Policy 92 (February): 356–67. https://doi.org/10.1016/j.envsci.2017.07.017.
",
,"Governing the UN Sustainable Development Goals: interactions, infrastructures, and institutions",https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(15)70112-9/fulltext,"Waage, Jeff, Christopher Yap, Sarah Bell, Caren Levy, Georgina Mace, Tom Pegram, Elaine Unterhalter, et al. 2015. “Governing the UN Sustainable Development Goals: Interactions, Infrastructures, and Institutions.” The Lancet Global Health 3 (5): e251–52. https://doi.org/10.1016/S2214-109X(15)70112-9.
",
,How the nexus of water/food/energy can be seen with the perspective of people well being and the Italian BES framework,https://www.sciencedirect.com/science/article/pii/S2210784316300572,"Fabiola, Riccardini, and De Rosa Dalila. 2016. “How the Nexus of Water/Food/Energy Can Be Seen with the Perspective of People Well Being and the Italian BES Framework.” Agriculture and Agricultural Science Procedia, Florence “Sustainability of Well-Being International Forum”. 2015: Food for Sustainability and not just food, FlorenceSWIF2015, 8 (January): 732–40. https://doi.org/10.1016/j.aaspro.2016.02.057.
",
Human Development Report 2016: Human development for everyone,Human Development Report,http://hdr.undp.org/en/2016-report,"UNDP. 2016. Human Development Report 2016: Human Development for Everyone. Human Development Reports 2016. New York, NY: United Nations Development Programme.
",
